"","V1","V2"
"1781",838.9976,2826.08538
"1782",861.7309,2851.329297
"1783",853.337481,2785.002042
"1784",822.648159,2660.926413
"1785",813.86396,2638.928708
"1786",805.628754,2771.269637
"1787",820.774412,2667.214434
"1788",791.632048,2652.020168
"1789",824.9364282,2766.7645282
"1790",813.046708,2597.04721
"1791",785.761884,2609.056463
"1792",796.6771,2575.058396
"1793",782.792374,2584.428144
"1794",753.993231,2599.729274
"1795",820.413215,2608.151793
"1796",798.483325,2586.258705
"1797",810.805297,2620.146452
"1798",793.597787,2669.684547
"1799",809.700195,2606.543636
"1800",796.256627,2542.790354
"1801",781.722667,2612.869197
"1802",801.329624,2679.467977
"1803",780.659093,2650.474506
"1804",745.433333,2742.9010202
"1805",799.294369,2785.925911
"1806",811.860232,2784.960452
"1807",808.132925,2823.294185
"1808",824.585053,2734.113613
"1809",838.068615,2682.802105
"1810",813.689085,2557.74455
"1811",738.014299,2483.912064
"1812",728.809326,2516.268564
"1813",682.93859,2608.91847
"1814",741.527747,2607.563427
"1815",740.10798,2633.47305
"1816",754.9621,2645.25583
"1817",827.13801,2557.3395
"1818",836.51827,2563.97125
"1819",820.72584,2650.65631
"1820",820.52155,2753.33423
"1821",795.86119,2642.20032
"1822",802.10312,2668.057304
"1823",801.8616,2587.46861
"1824",799.180347,2523.664758
"1825",745.25272,2603.34563
"1826",797.95598,2653.31006
"1827",803.086596,2627.586684
"1828",777.917823,2524.989548
"1829",794.498771,2555.424522
"1830",753.682129,2529.700274
"1831",738.771909,2728.424693
"1832",800.481566,2712.042251
"1833",812.903524,2716.616925
"1834",788.97479,2811.773636
"1835",832.6917,2812.166293
"1836",788.92637,2764.529832
"1837",805.78223,2800.24902
"1838",811.79617,2798.92608
"1839",832.222515,2683.932678
"1840",756.213863,2632.834673
"1841",699.50088,2564.006919
"1842",697.690321,2638.699417
"1843",675.11051,2631.7779
"1844",689.239775,2582.43325
"1845",694.13459,2564.04187
"1846",719.507455,2749.255445
"1847",691.16784,2725.70321
"1848",689.439977,2772.589827
"1849",688.246875,2771.828035
"1850",711.125681,2722.431701
"1851",694.801381,2714.063877
"1852",776.851698,2704.638138
"1853",748.627584,2683.953074
"1854",713.561976,2640.464936
"1855",685.409845,2752.086825
"1856",739.74346,2648.55277
"1857",744.116131,2695.758623
"1858",740.124025,2712.219085
"1859",735.1491,2766.18141
"1860",754.55247,2670.55733
"1861",784.017081,2645.094411
"1862",802.967033,2655.352283
"1863",816.36494,2628.42268
"1864",846.31891,2581.313283
"1865",823.3129,2569.869456
"1866",833.773122,2598.547231
"1867",794.480832,2544.820193
"1868",798.261448,2646.584228
"1869",791.67696,2739.54686
"1870",803.09659,2716.830523
"1871",764.009695,2748.156995
"1872",730.431405,2763.922981
"1873",733.890624,2725.639054
"1874",753.449036,2696.409136
"1875",760.378001,2716.195021
"1876",793.56474,2748.79843
"1877",814.621384,2750.753514
"1878",807.520185,2767.454555
"1879",817.18844,2666.721934
"1880",781.619069,2780.538934
"1881",827.79976,2720.921779
"1882",794.13539,2665.09901
"1883",794.92491,2684.271496
"1884",777.9373,2706.276101
"1885",792.425252,2610.608499
"1886",809.873213,2561.731503
"1887",738.535421,2597.410291
"1888",743.93855,2760.68528
"1889",736.599707,2838.0575
"1890",749.155074,2724.822626
"1891",733.937795,2795.354329
"1892",772.534864,2716.59766
"1893",771.042486,2608.866145
"1894",789.11955,2661.159875
"1895",735.5784,2731.91751
"1896",815.11587,2730.62802
"1897",775.40556,2698.964133
"1898",795.76276,2727.74422
"1899",799.39869,2791.087038
"1900",806.606882,2706.688973
"1901",821.291922,2615.382479
"1902",801.630164,2563.909344
"1903",812.81465,2584.4025
"1904",839.75081,2592.43459
"1905",838.35398,2660.83172
"1906",740.89741,2543.387784
"1907",808.7055,2601.0977
"1908",826.737911,2657.184779
"1909",855.995015,2611.504005
"1910",750.365687,2531.851587
"1911",739.37214,2531.984428
"1912",737.23942,2588.32476
"1913",731.77684,2599.20717
"1914",767.03382,2595.130279
"1915",752.096672,2654.875282
"1916",746.70879,2605.3709274
"1917",647.858802,2616.119013
"1918",706.748492,2598.278016
"1919",675.747585,2670.626511
"1920",691.519095,2554.207053
"1921",745.506247,2600.398567
"1922",787.263906,2585.475142
"1923",777.307911,2575.849395
"1924",800.516888,2610.420553
"1925",805.826407,2575.597632
"1926",828.202233,2635.257213
"1927",810.6451111,2611.4861911
"1928",827.11817,2662.71158
"1929",794.12738,2654.111086
"1930",796.42243,2580.600118
"1931",839.84217,2675.64633
"1932",824.48006,2651.90785
"1933",809.16935,2594.94644
"1934",807.82999,2759.73349
"1935",848.97088,2792.008693
"1936",837.170975,2748.711382
"1937",831.819962,2716.049733
"1938",796.56519,2695.74311
"1939",806.16967,2685.977521
"1940",807.653571,2661.240461
"1941",796.89829,2664.890443
"1942",799.535111,2595.1335857
"1943",801.29247,2642.50376
"1944",806.947672,2652.363439
"1945",818.920822,2652.6335855
"1946",791.851196,2584.13901
"1947",792.427154,2627.8564799
"1948",756.67844,2739.20569
"1949",781.09091,2617.55248
"1950",804.242334,2617.493854
"1951",803.632219,2573.666553
"1952",800.471822,2565.309163
"1953",795.372555,2515.662098
"1954",751.391414,2535.100277
"1955",758.161708,2590.035158
"1956",770.812944,2593.698717
"1957",795.229369,2660.120026
"1958",798.572078,2621.451179
"1959",795.566226,2674.673976
"1960",748.229474,2615.774751
"1961",797.81106,2540.052001
"1962",810.68182,2666.588734
"1963",851.86918,2756.359768
"1964",792.435192,2632.313463
"1965",811.87248,2627.263966
"1966",826.9855237,2546.6378177
"1967",811.667719,2690.136964
"1968",797.988509,2688.910348
"1969",844.125109,2641.643746
"1970",887.793217,2680.809306
"1971",858.789992,2603.777882
"1972",874.140802,2761.308486
"1973",836.675883,2738.306104
"1974",801.597455,2715.247026
"1975",804.71917,2726.554402
"1976",816.59528,2727.412466
"1977",793.60883,2644.83907
"1978",804.863493,2641.452681
"1979",792.65415,2677.623922
"1980",839.40746,2631.110055
"1981",836.816781,2647.547601
"1982",790.40719,2452.776931
"1983",809.478563,2456.034733
"1984",796.344238,2550.765683
"1985",830.89611,2659.577046
"1986",799.419462,2613.238268
"1987",798.12065,2606.49816
"1988",804.55833,2755.40426
"1989",773.39067,2755.55886
"1990",729.87251,2804.77662
"1991",818.296802,2798.792762
"1992",842.201437,2771.045217
"1993",829.391462,2786.589148
"1994",802.570442,2771.709212
"1995",829.3529846,2780.7910516
"1996",811.98373,2761.374693
"1997",794.40123,2761.4856
"1998",814.05277,2802.302333
"1999",804.167922,2720.241092
"2000",798.69186,2679.40598
"2001",805.01192,2704.734513
"2002",792.06868,2760.43681
"2003",818.67697,2635.930573
"2004",699.561365,2561.560499
"2005",728.03383,2562.48482
"2006",675.524234,2594.999318
"2007",698.57492,2579.085944
"2008",685.570058,2539.787226
"2009",682.94112,2562.644302
"2010",692.05044,2589.564161
"2011",698.3783736,2616.3400036
"2012",701.72002,2681.387871
"2013",698.83824,2637.983778
"2014",697.23025,2617.25523
"2015",681.329542,2623.886792
"2016",698.36689,2612.289792
"2017",675.765662,2651.262522
"2018",689.478473,2650.008199
"2019",676.530348,2647.515907
"2020",709.271263,2711.750523
"2021",716.073107,2658.671787
"2022",684.867688,2688.686862
"2023",678.94667,2592.065718
"2024",662.038446,2576.852336
"2025",683.823158,2661.087698
"2026",701.18817,2667.50395
"2027",693.968557,2656.357817
"2028",683.289224,2730.470024
"2029",698.103967,2729.681261
"2030",654.217111,2669.194673
"2031",707.29507,2738.383908
"2032",694.627902,2787.656395
"2033",696.79545,2706.607837
"2034",737.462184,2691.216641
"2035",731.674231,2700.96418595
"2036",702.752459,2692.682219
"2037",699.41963,2707.215036
"2038",733.14662,2661.56735
"2039",751.591131,2627.249718
"2040",677.099503,2659.775983
"2041",709.07718,2608.34764
"2042",684.871249,2604.787434
"2043",728.010812,2659.153472
"2044",740.051365,2689.419454
"2045",739.491954,2745.005058
"2046",756.4504,2636.101166
"2047",754.19119,2666.73554
"2048",745.93568,2647.99658
"2049",740.25701,2659.22511
"2050",753.45436,2648.71551
"2051",754.999994,2596.913617
"2052",759.33512,2651.072437
"2053",790.91074,2682.31559
"2054",743.981548,2704.069278
"2055",737.607283,2665.371386
"2056",722.072832,2621.573732
"2057",719.58524,2610.1033
"2058",740.112728,2613.455964
