Core,Depth in Core,Depth in Composite,Wet Density,Dry Density
JPC04,132,1920,1.45705,0.6577
JPC04,142,1930,1.423045455,0.682545455
JPC04,220,1940,1.38155,0.64135
JPC04,230,1950,1.332222222,0.6385
JPC04,240,1960,1.6582,0.9666
JPC04,250,1970,1.640913043,1.041826087
JPC04,260,1980,1.425869565,0.744304348
JPC04,270,1990,1.426695652,0.750434783
JPC04,280,2000,1.4566,0.70795
JPC04,290,2010,1.644181818,0.993045455
JPC04,300,2020,1.482722222,0.835611111
JPC04,310,2028,1.343681818,0.61
JPC04,320,2040,1.243181818,0.407363636
JPC04,330,2050,1.222695652,0.403217391
