Epoch time,Significant Wave Height (m)
1660908441,0.13
1660910241,0.16
1660912041,0.16
1660913841,0.13
1660915641,0.13
1660917441,0.12
1660919241,0.16
1660921041,0.17
1660922841,0.17
1660924641,0.18
1660926441,0.15
1660928241,0.17
1660930041,0.17
1660931841,0.19
1660933641,0.16
1660935441,0.16
1660937241,0.19
1660939041,0.19
1660940841,0.19
1660942641,0.16
1660944441,0.18
1660946241,0.18
1660948041,0.16
1660949841,0.15
1660951641,0.15
1660953441,0.14
1660955241,0.15
1660957041,0.16
1660958841,0.16
1660960641,0.15
1660962441,0.15
1660964241,0.16
1660966041,0.17
1660967841,0.17
1660969641,0.17
1660971441,0.18
1660973241,0.18
1660975041,0.2
1660976841,0.22
1660978641,0.24
1660980441,0.26
1660982241,0.27
1660984041,0.21
1660985841,0.22
1660987641,0.26
1660989441,0.24
1660991241,0.22
1660993041,0.21
1660994841,0.26
1660996641,0.24
1660998441,0.24
1661000241,0.18
1661002041,0.19
1661003841,0.19
1661005641,0.19
1661007441,0.19
1661009241,0.19
1661011041,0.18
1661012841,0.18
1661014641,0.18
1661016441,0.2
1661018241,0.23
1661020041,0.26
1661021841,0.34
1661023641,0.33
1661025441,0.36
1661027241,0.36
1661029041,0.41
1661030841,0.45
1661032641,0.45
1661034441,0.46
1661036241,0.48
1661038041,0.45
1661039841,0.47
1661041641,0.5
1661043441,0.5
1661045241,0.51
1661047041,0.48
1661048841,0.51
1661050641,0.48
1661052441,0.5
1661054241,0.51
1661056041,0.48
1661057841,0.51
1661059641,0.52
1661061441,0.53
1661063241,0.59
1661065041,0.57
1661066841,0.61
1661068641,0.66
1661070441,0.67
1661072241,0.68
1661074041,0.72
1661075841,0.76
1661077641,0.82
1661079441,0.86
1661081241,0.91
1661083041,0.96
1661084841,0.9
1661086641,0.89
1661088441,0.9
1661090241,0.94
1661092041,0.93
1661093841,0.94
1661095641,0.86
1661097441,0.88
1661099241,0.86
1661101041,0.85
1661102841,0.89
1661104641,0.85
1661106441,0.82
1661108241,0.82
1661110041,0.87
1661111841,0.91
1661113641,0.84
1661115441,0.91
1661117241,0.85
1661119041,0.92
1661120841,0.85
1661122641,0.88
1661124441,0.93
1661126241,0.92
1661128041,0.86
1661129841,0.92
1661131641,0.89
1661133441,0.85
1661135241,0.83
1661137041,0.82
1661138841,0.78
1661140641,0.75
1661142441,0.79
1661144241,0.81
1661146041,0.77
1661147841,0.79
1661149641,0.77
1661151441,0.75
1661153241,0.8
1661155041,0.86
1661156841,0.82
1661158641,0.76
1661160441,0.7
1661162241,0.77
1661164041,0.85
1661165841,0.87
1661167641,0.82
1661169441,0.87
1661171241,0.89
1661173041,0.88
1661174841,0.78
1661176641,0.76
1661178441,0.77
1661180241,0.74
1661182041,0.73
1661183841,0.7
1661185641,0.7
1661187441,0.7
1661189241,0.69
1661191041,0.66
1661192841,0.67
1661194641,0.65
1661196441,0.68
1661198241,0.66
1661200041,0.63
1661201841,0.67
1661203641,0.58
1661205441,0.61
1661207241,0.59
1661209041,0.6
1661210841,0.59
1661212641,0.61
1661214441,0.71
1661216241,0.65
1661218041,0.59
1661219841,0.64
1661221641,0.66
1661223441,0.68
1661225241,0.71
1661227041,0.69
1661228841,0.69
1661230641,0.62
1661232441,0.67
1661234241,0.62
1661236041,0.66
1661237841,0.65
1661239641,0.6
1661241441,0.58
1661243241,0.58
1661245041,0.55
1661246841,0.53
1661248641,0.49
1661250441,0.52
1661252241,0.47
1661254041,0.48
1661255841,0.51
1661257641,0.55
1661259441,0.49
1661261241,0.46
1661263041,0.42
1661264841,0.4
1661266641,0.43
1661268441,0.4
1661270241,0.39
1661272041,0.37
1661273841,0.35
1661275641,0.38
1661277441,0.36
1661279241,0.39
1661281041,0.35
1661282841,0.37
1661284641,0.34
1661286441,0.34
1661288241,0.31
1661290041,0.29
1661291841,0.3
1661293641,0.29
1661302641,0.28
1661304441,0.26
1661306241,0.29
1661308041,0.3
1661309841,0.27
1661311641,0.26
1661313441,0.26
1661315241,0.26
1661317041,0.27
1661318841,0.28
1661320641,0.29
1661322441,0.28
1661324241,0.26
1661326041,0.28
1661327841,0.26
1661329641,0.25
1661331441,0.28
1661333241,0.28
1661335041,0.25
1661336841,0.25
1661338641,0.23
1661340441,0.23
1661342241,0.24
1661344041,0.22
1661345841,0.18
1661347641,0.17
1661349441,0.17
1661351241,0.17
1661353041,0.16
1661354841,0.15
1661356641,0.15
1661358441,0.15
1661360241,0.13
1661362041,0.13
1661363841,0.12
1661365641,0.12
1661367441,0.12
1661369241,0.12
1661371041,0.15
1661372841,0.15
1661374641,0.16
1661376441,0.15
1661378241,0.11
1661380041,0.13
1661381841,0.17
1661383641,0.18
1661385441,0.21
1661387241,0.17
1661389041,0.18
1661390841,0.17
1661392641,0.19
1661394441,0.17
1661396241,0.18
1661398041,0.16
1661399841,0.16
1661401641,0.16
1661403441,0.18
1661405241,0.21
1661407041,0.23
1661408841,0.26
1661410641,0.27
1661412441,0.32
1661414241,0.32
1661416041,0.33
1661417841,0.33
1661419641,0.34
1661421441,0.3
1661423241,0.3
1661425041,0.32
1661426841,0.3
1661428641,0.33
1661430441,0.33
1661432241,0.32
1661434041,0.31
1661435841,0.36
1661437641,0.33
1661439441,0.3
1661441241,0.31
1661443041,0.31
1661444841,0.29
1661446641,0.3
1661448441,0.31
1661450241,0.31
1661452041,0.3
1661453841,0.29
1661455641,0.3
1661457441,0.33
1661459241,0.28
1661461041,0.24
1661462841,0.22
1661464641,0.21
1661466441,0.2
1661468241,0.19
1661470041,0.2
1661471841,0.2
1661473641,0.21
1661475441,0.2
1661477241,0.2
1661479041,0.18
1661480841,0.22
1661482641,0.23
1661484441,0.22
1661486241,0.21
1661488041,0.21
1661489841,0.18
1661491641,0.17
1661493441,0.18
1661495241,0.18
1661497041,0.17
1661498841,0.18
1661500641,0.2
1661502441,0.19
1661504241,0.18
1661506041,0.21
1661507841,0.22
1661509641,0.26
1661511441,0.26
1661513241,0.28
1661515041,0.32
1661516841,0.36
1661518641,0.31
1661520441,0.34
1661522241,0.37
1661524041,0.36
1661525841,0.38
1661527641,0.39
1661529441,0.42
1661531241,0.47
1661533041,0.46
1661534841,0.48
1661536641,0.47
1661538441,0.48
1661540241,0.46
1661542041,0.48
1661543841,0.46
1661545641,0.45
1661547441,0.47
1661549241,0.46
1661551041,0.44
1661552841,0.46
1661554641,0.45
1661556441,0.53
1661558241,0.49
1661560041,0.53
1661561841,0.52
1661563641,0.52
1661565441,0.59
1661567241,0.54
1661569041,0.58
1661570841,0.61
1661572641,0.62
1661574441,0.58
1661576241,0.58
1661578041,0.58
1661579841,0.61
1661581641,0.58
1661583441,0.56
1661585241,0.57
1661587041,0.55
1661588841,0.52
1661590641,0.53
1661592441,0.52
1661594241,0.55
1661596041,0.59
1661597841,0.57
1661599641,0.56
1661601441,0.57
1661603241,0.54
1661605041,0.56
1661606841,0.51
1661608641,0.53
1661610441,0.57
1661612241,0.57
1661614041,0.56
1661615841,0.55
1661617641,0.56
1661619441,0.58
1661621241,0.55
1661623041,0.54
1661624841,0.53
1661626641,0.51
1661628441,0.52
1661630241,0.51
1661632041,0.5
1661633841,0.46
1661635641,0.46
1661637441,0.48
1661639241,0.48
1661641041,0.52
1661642841,0.51
1661644641,0.47
1661646441,0.47
1661648241,0.46
1661650041,0.48
1661651841,0.47
1661653641,0.46
1661655441,0.5
1661657241,0.51
1661659041,0.53
1661660841,0.53
1661662641,0.57
1661664441,0.57
1661666241,0.57
1661668041,0.59
1661669841,0.59
1661671641,0.54
1661673441,0.56
1661675241,0.53
1661677041,0.59
1661678841,0.56
1661680641,0.57
1661682441,0.54
1661684241,0.59
1661686041,0.58
1661687841,0.58
1661689641,0.57
1661691441,0.6
1661693241,0.62
1661695041,0.61
1661696841,0.6
1661698641,0.66
1661700441,0.62
1661702241,0.67
1661704041,0.62
1661705841,0.61
1661707641,0.61
1661709441,0.64
1661711241,0.67
1661713041,0.6
1661714841,0.6
1661716641,0.57
1661718441,0.59
1661720241,0.57
1661722041,0.54
1661723841,0.51
1661725641,0.54
1661727441,0.52
1661729241,0.59
1661731041,0.59
1661732841,0.61
1661734641,0.62
1661736441,0.59
1661738241,0.57
1661740041,0.62
1661741841,0.59
1661743641,0.62
1661745441,0.61
1661747241,0.56
1661749041,0.54
1661750841,0.57
1661752641,0.55
1661754441,0.59
1661756241,0.58
1661758041,0.62
1661759841,0.58
1661761641,0.59
1661763441,0.59
1661765241,0.58
1661767041,0.58
1661768841,0.57
1661770641,0.58
1661772441,0.57
1661774241,0.6
1661776041,0.6
1661777841,0.57
1661779641,0.59
1661781441,0.6
1661783241,0.58
1661785041,0.58
1661786841,0.56
1661788641,0.59
1661790441,0.58
1661792241,0.54
1661794041,0.59
1661795841,0.52
1661797641,0.56
1661799441,0.55
1661801241,0.54
1661803041,0.51
1661804841,0.48
1661806641,0.48
1661808441,0.44
1661810241,0.41
1661812041,0.41
1661813841,0.4
1661815641,0.38
1661817441,0.4
1661819241,0.32
1661821041,0.35
1661822841,0.35
1661824641,0.33
1661826441,0.34
1661828241,0.34
1661830041,0.34
1661831841,0.33
1661833641,0.32
1661835441,0.34
1661837241,0.32
1661839041,0.3
1661840841,0.3
1661842641,0.3
1661844441,0.27
1661846241,0.25
1661848041,0.24
1661849841,0.24
1661851641,0.23
1661853441,0.22
1661855241,0.22
1661857041,0.19
1661858841,0.19
1661860641,0.17
1661862441,0.18
1661864241,0.18
1661866041,0.16
1661867841,0.17
1661869641,0.16
1661871441,0.16
1661873241,0.16
1661875041,0.16
1661876841,0.18
1661878641,0.17
1661880441,0.18
1661882241,0.2
1661884041,0.23
1661885841,0.24
1661887641,0.24
1661889441,0.24
1661891241,0.25
1661893041,0.24
1661894841,0.22
1661896641,0.23
1661898441,0.23
1661900241,0.27
1661902041,0.26
1661903841,0.27
1661905641,0.3
1661907441,0.28
1661909241,0.3
1661911041,0.29
1661912841,0.3
1661914641,0.31
1661916441,0.32
1661918241,0.35
1661920041,0.34
1661921841,0.36
1661923641,0.36
1661925441,0.36
1661927241,0.34
1661929041,0.34
1661930841,0.33
1661932641,0.34
1661934441,0.35
1661936241,0.37
1661938041,0.35
1661939841,0.33
1661941641,0.33
1661943441,0.35
1661945241,0.3
1661947041,0.35
1661948841,0.34
1661950641,0.37
1661952441,0.39
1661954241,0.4
1661956041,0.4
1661957841,0.41
1661959641,0.45
1661961441,0.44
1661963241,0.44
1661965041,0.43
1661966841,0.45
1661968641,0.45
1661970441,0.45
1661972241,0.52
1661974041,0.52
1661975841,0.51
1661977641,0.47
1661979441,0.49
1661981241,0.46
1661983041,0.49
1661984841,0.45
1661986641,0.42
1661988441,0.44
1661990241,0.45
1661992041,0.45
1661993841,0.47
1661995641,0.47
1661997441,0.52
1661999241,0.5
1662001041,0.46
1662002841,0.48
1662004641,0.47
1662006441,0.51
1662008241,0.48
1662010041,0.49
1662011841,0.49
1662013641,0.54
1662015441,0.51
1662017241,0.54
1662019041,0.52
1662020841,0.57
1662022641,0.49
1662024441,0.54
1662026241,0.52
1662028041,0.55
1662029841,0.54
1662031641,0.51
1662033441,0.49
1662035241,0.5
1662037041,0.5
1662038841,0.51
1662040641,0.53
1662042441,0.5
1662044241,0.53
1662046041,0.51
1662047841,0.51
1662049641,0.52
1662051441,0.51
1662053241,0.54
1662055041,0.52
1662056841,0.5
1662058641,0.54
1662060441,0.55
1662062241,0.55
1662064041,0.53
1662065841,0.54
1662067641,0.51
1662069441,0.56
1662071241,0.56
1662073041,0.55
1662074841,0.56
1662076641,0.53
1662078441,0.53
1662080241,0.48
1662082041,0.53
1662083841,0.52
1662085641,0.51
1662087441,0.52
1662089241,0.52
1662091041,0.51
1662092841,0.52
1662094641,0.53
1662096441,0.54
1662098241,0.54
1662100041,0.55
1662101841,0.54
1662103641,0.53
1662105441,0.56
1662107241,0.54
1662109041,0.55
1662110841,0.6
1662112641,0.56
1662114441,0.6
1662116241,0.62
1662118041,0.65
1662119841,0.68
1662121641,0.65
1662123441,0.7
1662125241,0.65
1662127041,0.68
1662128841,0.68
1662130641,0.68
1662132441,0.64
1662134241,0.67
1662136041,0.72
1662137841,0.7
1662139641,0.64
1662141441,0.75
1662143241,0.72
1662145041,0.78
1662146841,0.77
1662148641,0.78
1662150441,0.82
1662152241,0.75
1662154041,0.87
1662155841,0.87
1662157641,0.85
1662159441,0.91
1662161241,0.87
1662163041,0.85
1662164841,0.92
1662166641,0.9
1662168441,0.9
1662170241,0.91
1662172041,0.84
1662173841,0.9
1662175641,0.87
1662177441,0.87
1662179241,0.89
1662181041,0.92
1662182841,0.9
1662184641,0.91
1662186441,0.84
1662188241,0.89
1662190041,0.87
1662191841,0.86
1662193641,0.9
1662195441,0.8
1662197241,0.82
1662199041,0.77
1662200841,0.84
1662202641,0.85
1662204441,0.75
1662206241,0.76
1662208041,0.81
1662209841,0.8
1662211641,0.73
1662213441,0.75
1662215241,0.78
1662217041,0.7
1662218841,0.69
1662220641,0.64
1662222441,0.65
1662224241,0.72
1662226041,0.67
1662227841,0.63
1662229641,0.65
1662231441,0.66
1662233241,0.62
1662235041,0.6
1662236841,0.58
1662238641,0.63
1662240441,0.62
1662242241,0.57
1662244041,0.58
1662245841,0.58
1662247641,0.55
1662249441,0.53
1662251241,0.51
1662253041,0.53
1662254841,0.52
1662256641,0.51
1662258441,0.48
1662260241,0.49
1662262041,0.49
1662263841,0.45
1662265641,0.47
1662267441,0.49
1662269241,0.49
1662271041,0.47
1662272841,0.46
1662274641,0.46
1662276441,0.45
1662278241,0.45
1662280041,0.48
1662281841,0.49
1662283641,0.44
1662285441,0.41
1662287241,0.44
1662289041,0.43
1662290841,0.41
1662292641,0.36
1662294441,0.37
1662296241,0.36
1662298041,0.33
1662299841,0.33
1662301641,0.32
1662303441,0.3
1662305241,0.31
1662307041,0.28
1662308841,0.29
1662310641,0.27
1662312441,0.26
1662314241,0.27
1662316041,0.25
1662317841,0.22
1662319641,0.24
1662321441,0.21
1662323241,0.22
