time,height
1631703841,0.63
1631705641,0.64
1631707441,0.57
1631709241,0.55
1631711041,0.52
1631712841,0.47
1631714641,0.54
1631716441,0.52
1631718241,0.55
1631720041,0.61
1631721841,0.49
1631723641,0.48
1631725441,0.5
1631727241,0.52
1631729041,0.5
1631730841,0.52
1631732641,0.45
1631734441,0.46
1631736241,0.46
1631738041,0.45
1631739841,0.45
1631741641,0.42
1631743441,0.44
1631745241,0.46
1631747041,0.49
1631748841,0.45
1631750641,0.48
1631752441,0.51
1631754241,0.53
1631756041,0.51
1631757841,0.51
1631759641,0.56
1631761441,0.57
1631763241,0.54
1631765041,0.5
1631766841,0.49
1631768641,0.49
1631770441,0.5
1631772241,0.56
1631774041,0.56
1631775841,0.54
1631777641,0.54
1631779441,0.56
1631781241,0.53
1631783041,0.5
1631784841,0.5
1631786641,0.52
1631788441,0.63
1631790241,0.67
1631792041,0.63
1631793841,0.65
1631795641,0.65
1631797441,0.72
1631799241,0.76
1631801041,0.84
1631802841,1.15
1631804641,1.45
1631806441,1.45
1631808241,1.56
1631810041,1.58
1631811841,1.7
1631813641,1.8
1631815441,1.78
1631817241,1.64
1631819041,1.67
1631820841,1.63
1631822641,1.58
1631824441,1.53
1631826241,1.45
1631828041,1.35
1631829841,1.37
1631831641,1.31
1631833441,1.3
1631835241,1.21
1631837041,1.19
1631838841,1.15
1631840641,1.17
1631842441,1.13
1631844241,1.28
1631846041,1.37
1631847841,1.4
1631849641,1.33
1631851441,1.31
1631853241,1.35
1631855041,1.34
1631856841,1.37
1631858641,1.35
1631860441,1.34
1631862241,1.3
1631864041,1.3
1631865841,1.38
1631867641,1.39
1631869441,1.56
1631871241,1.64
1631873041,1.49
1631874841,1.38
1631876641,1.33
1631878441,1.22
1631880241,1.22
1631882041,1.22
1631883841,1.14
1631885641,1.13
1631887441,1.18
1631889241,1.12
1631891041,1.15
1631892841,1.23
1631894641,1.18
1631896441,1.25
1631898241,1.24
1631900041,1.28
1631901841,1.24
1631903641,1.19
1631905441,1.21
1631907241,1.09
1631909041,1.06
1631910841,1.12
1631912641,1.02
1631914441,1
1631916241,1.07
1631918041,1.09
1631919841,1.04
1631921641,1.04
1631923441,1.08
1631925241,1.03
1631927041,0.94
1631928841,0.97
1631930641,0.88
1631932441,0.89
1631934241,0.88
1631936041,0.9
1631937841,0.83
1631939641,0.79
1631941441,0.8
1631943241,0.81
1631945041,0.77
1631946841,0.87
1631948641,0.82
1631950441,0.77
1631952241,0.79
1631954041,0.73
1631955841,0.74
1631957641,0.72
1631959441,0.74
1631961241,0.68
1631963041,0.68
1631964841,0.7
1631966641,0.65
1631968441,0.63
1631970241,0.59
1631972041,0.66
1631973841,0.6
1631975641,0.66
1631977441,0.65
1631979241,0.59
1631981041,0.62
1631982841,0.54
1631984641,0.49
1631986441,0.5
1631988241,0.49
1631990041,0.55
1631991841,0.52
1631993641,0.48
1631995441,0.45
1631997241,0.47
1631999041,0.44
1632000841,0.46
1632002641,0.42
1632004441,0.43
1632006241,0.42
1632008041,0.43
1632009841,0.48
1632011641,0.47
1632013441,0.43
1632015241,0.43
1632017041,0.39
1632018841,0.32
1632020641,0.28
1632022441,0.31
1632024241,0.38
1632026041,0.39
1632027841,0.44
1632029641,0.43
1632031441,0.46
1632033241,0.55
1632035041,0.62
1632036841,0.55
1632038641,0.51
1632040441,0.59
1632042241,0.6
1632044041,0.69
1632045841,0.67
1632047641,0.62
1632049441,0.6
1632051241,0.61
1632053041,0.6
1632054841,0.56
1632056641,0.59
1632058441,0.57
1632060241,0.57
1632062041,0.56
1632063841,0.55
1632065641,0.55
1632067441,0.58
1632069241,0.62
1632071041,0.65
1632072841,0.68
1632074641,0.74
1632076441,0.79
1632078241,0.77
1632080041,0.77
1632081841,0.82
1632083641,0.9
1632085441,0.98
1632087241,0.95
1632089041,0.87
1632090841,0.95
1632092641,1.02
1632094441,1.12
1632096241,1.11
1632098041,1.15
1632099841,1.19
1632101641,1.18
1632103441,1.25
1632105241,1.16
1632107041,1.12
1632108841,1.14
1632110641,1.08
1632112441,1.01
1632114241,1.01
1632116041,1.05
1632117841,1.24
1632119641,1.38
1632121441,1.35
1632123241,1.33
1632125041,1.25
1632126841,1.28
1632128641,1.31
1632130441,1.29
1632132241,1.32
1632134041,1.25
1632135841,1.14
1632137641,1.15
1632139441,1.1
1632141241,1.13
1632143041,1.06
1632144841,0.99
1632146641,0.93
1632148441,0.94
1632150241,0.99
1632152041,0.95
1632153841,0.93
1632155641,0.91
1632157441,0.89
1632159241,0.94
1632161041,0.82
1632162841,0.89
1632164641,0.79
1632166441,0.78
1632168241,0.8
1632170041,0.76
1632171841,0.75
1632173641,0.74
1632175441,0.73
1632177241,0.8
1632179041,0.74
1632180841,0.72
1632182641,0.7
1632184441,0.69
1632186241,0.66
1632188041,0.62
1632189841,0.66
1632191641,0.67
1632193441,0.68
1632195241,0.7
1632197041,0.69
1632198841,0.66
1632200641,0.63
1632202441,0.6
1632204241,0.56
