time,height
1630875379,0.32
1630877179,0.32
1630878979,0.35
1630880779,0.36
1630882579,0.38
1630884379,0.38
1630886179,0.37
1630887979,0.36
1630889779,0.35
1630891579,0.34
1630893379,0.32
1630895179,0.33
1630896979,0.32
1630898779,0.32
1630900579,0.31
1630902379,0.3
1630904179,0.3
1630905979,0.29
1630907779,0.31
1630909579,0.31
1630911379,0.31
1630913179,0.33
1630914979,0.34
1630916779,0.38
1630918579,0.35
1630920379,0.38
1630922179,0.36
1630923979,0.39
1630925779,0.37
1630927579,0.34
1630929379,0.33
1630931179,0.32
1630932979,0.3
1630934779,0.3
1630936579,0.29
1630938379,0.27
1630940179,0.27
1630941979,0.26
1630943779,0.28
1630945579,0.27
1630947379,0.25
1630949179,0.25
1630950979,0.26
1630952779,0.24
1630954579,0.24
1630956379,0.24
1630958179,0.25
1630959979,0.27
1630961779,0.29
1630963579,0.29
1630965379,0.26
1630967179,0.27
1630968979,0.27
1630970779,0.26
1630972579,0.29
1630974379,0.29
1630976179,0.26
1630977979,0.27
1630979779,0.28
1630981579,0.27
1630983379,0.26
1630985179,0.29
1630986979,0.27
1630988779,0.28
1630990579,0.28
1630992379,0.29
1630994179,0.25
1630995979,0.25
1630997779,0.3
1630999579,0.31
1631001379,0.29
1631003179,0.27
1631004979,0.26
1631006779,0.28
1631008579,0.27
1631010379,0.29
1631012179,0.28
1631013979,0.29
1631015779,0.28
1631017579,0.26
1631019379,0.25
1631021179,0.26
1631022979,0.23
1631024779,0.21
1631026579,0.2
1631028379,0.18
1631030179,0.17
1631031979,0.15
1631033779,0.16
1631035579,0.16
1631037379,0.15
1631039179,0.18
1631040979,0.15
1631042779,0.17
1631044579,0.19
1631046379,0.18
1631048179,0.18
1631049979,0.18
1631051779,0.18
1631053579,0.19
1631055379,0.24
1631057179,0.24
1631058979,0.22
1631060779,0.22
1631062579,0.21
1631064379,0.19
1631066179,0.18
1631067979,0.19
1631069779,0.19
1631071579,0.2
1631073379,0.19
1631075179,0.18
1631076979,0.19
1631078779,0.18
1631080579,0.18
1631082379,0.19
1631084179,0.2
1631085979,0.2
1631087779,0.2
1631089579,0.19
1631091379,0.19
1631093179,0.19
1631094979,0.19
1631096779,0.19
1631098579,0.24
1631100379,0.24
1631102179,0.23
1631103979,0.23
1631105779,0.22
1631107579,0.21
1631109379,0.22
1631111179,0.21
1631112979,0.21
1631114779,0.22
1631116579,0.2
1631118379,0.22
1631120179,0.21
1631121979,0.2
1631123779,0.18
1631125579,0.18
1631127379,0.19
1631129179,0.19
1631130979,0.2
1631132779,0.19
1631134579,0.19
1631136379,0.21
1631138179,0.24
1631139979,0.29
1631141779,0.28
1631143579,0.28
1631145379,0.34
1631147179,0.43
1631148979,0.46
1631150779,0.5
1631152579,0.53
1631154379,0.5
1631156179,0.56
1631157979,0.6
1631159779,0.67
1631161579,0.67
1631163379,0.7
1631165179,0.69
1631166979,0.6
1631168779,0.58
1631170579,0.6
1631172379,0.53
1631174179,0.42
1631175979,0.37
1631177779,0.45
1631179579,0.42
1631181379,0.41
1631183179,0.39
1631184979,0.38
1631186779,0.4
1631188579,0.38
1631190379,0.37
1631192179,0.4
1631193979,0.4
1631195779,0.4
1631197579,0.39
1631199379,0.38
1631201179,0.37
1631202979,0.37
1631204779,0.37
1631206579,0.36
1631208379,0.33
1631210179,0.29
1631211979,0.28
1631213779,0.25
1631215579,0.25
1631217379,0.26
